X--Trace 1::[I(R1:1) | I(PR1)],Y--Trace 1::[I(R1:1) | I(PR1)],,X--Trace 2::[V(2) | V(PR3)],Y--Trace 2::[V(2) | V(PR3)]
2.28,0.00149504,,2.28,1.83373
2.29,0.00151849,,2.29,1.67426
2.3,0.00154213,,2.3,1.51355
2.31,0.00156594,,2.31,1.3516
2.32,0.00158322,,2.32,1.23408
2.33,0.00159202,,2.33,1.17427
2.34,0.00159851,,2.34,1.13012
2.35,0.0016037,,2.35,1.09485
2.36,0.00160815,,2.36,1.06459
2.37,0.00161207,,2.37,1.03794
2.38,0.00161558,,2.38,1.01406
2.39,0.00161877,,2.39,0.992368
2.4,0.0016217,,2.4,0.97245
2.41,0.00162441,,2.41,0.95401
2.42,0.00162694,,2.42,0.936827
2.43,0.00162931,,2.43,0.920725
2.44,0.00163153,,2.44,0.905567
2.45,0.00163364,,2.45,0.891243
2.46,0.00163564,,2.46,0.87766
2.47,0.00163754,,2.47,0.864741
2.48,0.00163935,,2.48,0.852423
2.49,0.00164108,,2.49,0.84065
2.5,0.00164274,,2.5,0.829375
2.51,0.00164433,,2.51,0.818556
2.52,0.00164586,,2.52,0.808158
2.53,0.00164733,,2.53,0.798149
2.54,0.00164875,,2.54,0.788501
2.55,0.00165012,,2.55,0.779189
2.56,0.00165144,,2.56,0.77019
2.57,0.00165272,,2.57,0.761485
2.58,0.00165396,,2.58,0.753055
2.59,0.00165516,,2.59,0.744884
2.6,0.00165633,,2.6,0.736957
2.61,0.00165746,,2.61,0.72926
2.62,0.00165856,,2.62,0.721781
2.63,0.00165963,,2.63,0.714508
2.64,0.00166067,,2.64,0.707431
2.65,0.00166169,,2.65,0.70054
2.66,0.00166267,,2.66,0.693826
2.67,0.00166364,,2.67,0.68728
2.68,0.00166457,,2.68,0.680896
2.69,0.00166549,,2.69,0.674665
2.7,0.00166639,,2.7,0.668581
2.71,0.00166726,,2.71,0.662638
2.72,0.00166811,,2.72,0.65683
2.73,0.00166895,,2.73,0.651151
2.74,0.00166977,,2.74,0.645596
2.75,0.00167056,,2.75,0.64016
2.76,0.00167135,,2.76,0.634839
2.77,0.00167211,,2.77,0.629629
2.78,0.00167286,,2.78,0.624524
2.79,0.0016736,,2.79,0.619522
2.8,0.00167432,,2.8,0.614619
2.81,0.00167503,,2.81,0.609811
2.82,0.00167572,,2.82,0.605095
2.83,0.0016764,,2.83,0.600469
2.84,0.00167707,,2.84,0.595928
2.85,0.00167772,,2.85,0.59147
2.86,0.00167837,,2.86,0.587093
